modele,WAPE,biais,biais_pct,fold
directe,0.7094341600540285,-0.24146277711732989,-0.10603291549698357,1
recursive,0.7142937870122028,0.12572482418558914,0.055209212028013877,1
hybride,0.7005387123281845,-0.09458773659616228,-0.04153606448698466,1
naive_saiso,0.9160751985523273,-0.14574175824175825,-0.06399919573740831,1
directe,0.7022599893039126,-0.34788879879999784,-0.16215753635240537,2
recursive,0.7053416587742782,0.0328543259473897,0.01531402152792638,2
hybride,0.6945529306417451,-0.19559154890104283,-0.09116891320027265,2
naive_saiso,0.9754988795219294,-0.0777930402930403,-0.036260804609966946,2
directe,0.6906478279186872,-0.4195231676472227,-0.18483359184634862,3
recursive,0.6824399735805725,-0.0631540634323199,-0.027824428503799847,3
hybride,0.6768281430800379,-0.205701705118281,-0.09062809384081927,3
naive_saiso,0.9349619737346433,-0.29995421245421244,-0.1321538802929132,3
directe,0.7146353340906224,-0.3759196431807418,-0.16514301532872167,4
recursive,0.7167334439563274,0.12886170649417852,0.056609467360612786,4
hybride,0.6992023100547996,-0.12352896834328166,-0.05426677398405455,4
naive_saiso,0.9237252338328472,-0.05892857142857143,-0.025887559086794742,4
