store_id,month,ca_reel,ca_prev,effet_prix,effet_volume,effet_mix,dont_promo,dont_calendaire,dont_autre,ecart_total
ONLINE,2026-03,127644.62025356293,114811.50220061983,0.0,7569.120324110338,5263.997728832763,2544.744921857769,0.0,10288.37313108533,12833.1180529431
ONLINE,2026-04,184258.1803908348,162438.47444508388,0.0,21468.702657166432,351.00328858449575,6518.149412255271,4053.9221395355935,11247.634393960063,21819.70594575093
ONLINE,2026-05,217836.90202617645,170446.60550581792,0.0,48596.49970486844,-1206.2031845099045,16272.381581267678,299.920119118697,30817.99481997216,47390.29652035853
ONLINE,2026-06,199774.42772507668,179036.52629479475,0.0,19733.693531052388,1004.2078992295283,2518.8564408473826,0.0,18219.044989434533,20737.901430281927
S01,2026-03,63035.44016599655,60295.455756586605,0.0,2796.2063826888107,-56.22197327886579,1527.3583188957446,0.0,1212.6260905142003,2739.9844094099462
S01,2026-04,87529.81041097641,83117.34407577681,0.0,5730.036569681154,-1317.5702344815581,0.0,962.2618932463413,3450.204441953255,4412.466335199599
S01,2026-05,89807.51076579094,83217.35330921036,0.0,8035.47877170699,-1445.3213151264154,3307.832315376464,463.4174550937971,2818.907686110314,6590.157456580579
S01,2026-06,88891.29908251762,82559.57338680014,0.0,3844.3233716236828,2487.402324093794,-102.80355524303495,0.0,6434.5292509605115,6331.725695717483
S02,2026-03,54260.8901591301,53733.58978601993,0.0,2723.794622330921,-2196.4942492207556,1101.4081633977548,0.0,-574.1077902875898,527.3003731101635
S02,2026-04,81901.26018953323,74271.27159944022,0.0,7128.339302513384,501.64928757962934,0.0,1232.1164174065261,6397.872172686487,7629.988590093009
S02,2026-05,78558.14062356949,74612.6567917206,0.0,7186.319711428547,-3240.8358795796566,-72.13850715341061,-65.96692139074278,4083.5892603930433,3945.483831848891
S02,2026-06,79581.22905039787,74087.7311309777,0.0,6613.0016824164395,-1119.5037629962708,4.18816776987549,0.0,5489.309751650293,5493.497919420173
S03,2026-03,58886.510108947754,53613.086268629944,0.0,4334.942215233658,938.4816250841495,237.03936040121,0.0,5036.384479916598,5273.42384031781
S03,2026-04,75005.60019254684,73656.28858846075,0.0,2228.1226129926067,-878.8110089065201,0.0,321.913255591502,1027.3983484945848,1349.3116040860914
S03,2026-05,79936.92080116272,73748.3221274951,0.0,6356.734028239744,-168.13535457212856,1426.5867836596292,268.72347891005006,4493.288411097936,6188.598673667613
S03,2026-06,80094.6093761921,72041.21568439795,0.0,8353.846246376444,-300.4525545822971,995.4948871872408,0.0,7057.898804606906,8053.393691794146
S04,2026-03,53176.67013454437,51802.777338707216,0.0,818.4657606667353,555.4270351704248,-72.38466194347001,0.0,1446.2774577806301,1373.8927958371569
S04,2026-04,73543.17028427124,70709.89210141933,0.0,3362.220772159688,-528.942589307781,0.0,2867.920392213711,-34.64220936180391,2833.2781828519073
S04,2026-05,74932.470662117,71572.92768408768,0.0,1815.6822758752755,1543.8607021540488,-1753.2068664483706,-791.5578291632115,5904.307673640907,3359.54297802932
S04,2026-06,75843.23935604095,66742.63496574164,0.0,9119.571770242681,-18.96737994336945,981.4935518944827,0.0,8119.110838404828,9100.604390299311
S05,2026-03,44606.76009321213,43784.703693479874,0.0,-153.5952223213787,975.6516220536338,-764.5383422755378,0.0,1586.5947420077928,822.0563997322533
S05,2026-04,64251.69013118744,61020.10245892426,0.0,2623.290628837082,608.2970434260992,0.0,440.0092148679199,2791.578457395261,3231.58767226318
S05,2026-05,67519.87067985535,61048.16149204446,0.0,8233.38658238849,-1761.6773945776022,2692.2817046127625,151.8680612076412,3627.5594219904838,6471.709187810884
S05,2026-06,61524.51939845085,58988.15055618077,0.0,3295.819478870717,-759.4506366006367,304.96730471599614,0.0,2231.401537554084,2536.3688422700798
S06,2026-03,38909.54008388519,40390.14520834632,0.0,-325.5119491057789,-1155.0931753553482,276.8455300942447,0.0,-1757.4506545553718,-1480.60512446113
S06,2026-04,55801.880204200745,53909.49598398109,0.0,2490.0973216442762,-597.7131014246229,0.0,554.5435456273989,1337.8406745922543,1892.3842202196538
S06,2026-05,57196.39051246643,56854.50506836088,0.0,1546.1647622631517,-1204.279318157597,-2079.7016196170403,-253.90830585500171,2675.4953695775966,341.88544410555187
S06,2026-06,62094.499411821365,54107.01618710565,0.0,5815.427638627822,2172.0555860878985,874.117437160645,0.0,7113.365787555075,7987.483224715717
S07,2026-03,40700.3701376915,37973.40668653014,0.0,-191.6807579316086,2918.6442090929654,-1156.9553147740908,0.0,3883.9187659354475,2726.963451161355
S07,2026-04,48830.190118312836,48854.04812621948,0.0,-186.76263318137657,162.9046252747296,0.0,-422.8236262798242,398.9656183731772,-23.85800790664507
S07,2026-05,47845.73042869568,45879.90810136608,0.0,3270.4297454297407,-1304.6074181001459,1662.4213303844913,-375.8246612024797,679.2256581475833,1965.8223273295953
S07,2026-06,53887.26941895485,48601.85581549299,0.0,4568.658962692284,716.75464076957,363.6073593458852,0.0,4921.806244115969,5285.413603461857
S08,2026-03,36505.15013885498,34935.30363657729,0.0,1017.6828903464044,552.1636119312797,-42.805489925277215,0.0,1612.6519922029613,1569.8465022776873
S08,2026-04,52803.27010536194,46877.55600475092,0.0,4651.838841816148,1273.8752587948675,0.0,257.1113768030309,5668.602723807984,5925.714100611018
S08,2026-05,49347.5404624939,45552.63899360127,0.0,4172.725903901837,-377.8244350092082,2195.0283910835237,660.7590926190927,939.1139851900126,3794.9014688926254
S08,2026-06,49816.36963367462,46459.61037243201,0.0,2011.541979448311,1345.2172817942978,14.982333335277449,0.0,3341.7769279073314,3356.7592612426088
S09,2026-03,23511.350054740906,23671.205446942946,0.0,652.0567763983221,-811.9121686003606,673.7097421797189,0.0,-833.5651343817574,-159.8553922020401
S09,2026-04,33873.160048007965,32697.92962545714,0.0,479.659045714632,695.5713768361907,0.0,15.172480365110435,1160.0579421857121,1175.2304225508233
S09,2026-05,30453.0902531147,29675.4184679239,0.0,968.8019968018411,-191.13021161104177,5.729624309584786,258.336487981524,513.6056728996906,777.6717851907997
S09,2026-06,34574.689645290375,33310.527972449854,0.0,413.2576494150983,850.9040234254255,-239.04320327806258,0.0,1503.2048761185863,1264.1616728405206
S10,2026-03,26429.590081214905,24724.299427813432,0.0,912.7601092298656,792.5305441716088,395.775974893897,0.0,1309.5146785075774,1705.2906534014728
