date,store_id,nb_tickets
2021-07-01,S01,53
2021-07-02,S01,112
2021-07-03,S01,114
2021-07-04,S01,28
2021-07-05,S01,71
2021-07-06,S01,64
2021-07-07,S01,83
2021-07-08,S01,63
2021-07-09,S01,68
2021-07-10,S01,62
2021-07-11,S01,41
2021-07-12,S01,42
2021-07-13,S01,61
2021-07-14,S01,56
2021-07-15,S01,77
2021-07-16,S01,85
2021-07-17,S01,115
2021-07-18,S01,45
2021-07-19,S01,60
2021-07-20,S01,81
2021-07-21,S01,111
2021-07-22,S01,62
2021-07-23,S01,70
2021-07-24,S01,116
2021-07-25,S01,31
2021-07-26,S01,59
2021-07-27,S01,73
2021-07-28,S01,62
2021-07-29,S01,102
2021-07-30,S01,97
2021-07-31,S01,104
2021-08-01,S01,35
2021-08-02,S01,63
2021-08-03,S01,62
2021-08-04,S01,72
2021-08-05,S01,80
2021-08-06,S01,65
2021-08-07,S01,99
2021-08-08,S01,46
2021-08-09,S01,72
2021-08-10,S01,64
2021-08-11,S01,93
2021-08-12,S01,55
2021-08-13,S01,87
2021-08-14,S01,83
2021-08-15,S01,27
2021-08-16,S01,52
2021-08-17,S01,61
2021-08-18,S01,104
2021-08-19,S01,67
2021-08-20,S01,87
2021-08-21,S01,133
2021-08-22,S01,39
2021-08-23,S01,47
2021-08-24,S01,78
2021-08-25,S01,68
2021-08-26,S01,63
2021-08-27,S01,98
2021-08-28,S01,123
2021-08-29,S01,58
2021-08-30,S01,52
2021-08-31,S01,60
2021-09-01,S01,80
2021-09-02,S01,62
2021-09-03,S01,77
2021-09-04,S01,95
2021-09-05,S01,41
2021-09-06,S01,45
2021-09-07,S01,67
2021-09-08,S01,79
2021-09-09,S01,75
2021-09-10,S01,55
2021-09-11,S01,127
2021-09-12,S01,46
2021-09-13,S01,52
2021-09-14,S01,49
2021-09-15,S01,67
2021-09-16,S01,72
2021-09-17,S01,63
2021-09-18,S01,109
2021-09-19,S01,53
2021-09-20,S01,64
2021-09-21,S01,83
2021-09-22,S01,82
2021-09-23,S01,71
2021-09-24,S01,88
2021-09-25,S01,119
2021-09-26,S01,46
