date,store_id,temp_mean_c,rain_mm,source,temp_anomaly
2021-07-01,ONLINE,18.4,0.5,open-meteo,-2.5
2021-07-02,ONLINE,20.1,0.7,open-meteo,-0.9
2021-07-03,ONLINE,20.4,2.4,open-meteo,0.0
2021-07-04,ONLINE,18.8,11.9,open-meteo,-1.2
2021-07-05,ONLINE,19.8,3.8,open-meteo,-0.7
2021-07-06,ONLINE,19.2,6.3,open-meteo,-0.8
2021-07-07,ONLINE,18.4,1.6,open-meteo,-1.54
2021-07-08,ONLINE,18.1,1.5,open-meteo,-1.84
2021-07-09,ONLINE,18.5,0.2,open-meteo,-2.2
2021-07-10,ONLINE,18.4,2.6,open-meteo,-3.18
2021-07-11,ONLINE,19.3,0.4,open-meteo,-3.28
2021-07-12,ONLINE,18.8,10.2,open-meteo,-3.3
2021-07-13,ONLINE,17.2,12.8,open-meteo,-4.36
2021-07-14,ONLINE,17.4,6.7,open-meteo,-3.86
2021-07-15,ONLINE,19.2,2.9,open-meteo,-2.26
2021-07-16,ONLINE,19.0,1.0,open-meteo,-2.38
2021-07-17,ONLINE,19.9,0.0,open-meteo,-2.2
2021-07-18,ONLINE,22.6,0.0,open-meteo,-1.24
2021-07-19,ONLINE,23.2,0.0,open-meteo,-0.9
2021-07-20,ONLINE,22.9,0.0,open-meteo,0.22
2021-07-21,ONLINE,23.0,0.0,open-meteo,0.84
2021-07-22,ONLINE,23.4,0.0,open-meteo,1.76
2021-07-23,ONLINE,23.6,0.2,open-meteo,2.04
2021-07-24,ONLINE,21.9,3.5,open-meteo,0.34
2021-07-25,ONLINE,20.4,4.6,open-meteo,-0.36
2021-07-26,ONLINE,20.2,2.4,open-meteo,-0.38
2021-07-27,ONLINE,19.8,3.4,open-meteo,-0.82
2021-07-28,ONLINE,19.9,2.6,open-meteo,-0.82
2021-07-29,ONLINE,20.2,0.1,open-meteo,-0.76
2021-07-30,ONLINE,20.0,0.6,open-meteo,-1.72
2021-07-31,ONLINE,18.9,2.0,open-meteo,-3.04
2021-08-01,ONLINE,18.2,1.8,open-meteo,-3.52
2021-08-02,ONLINE,18.3,1.7,open-meteo,-3.1
2021-08-03,ONLINE,17.5,3.2,open-meteo,-3.6
2021-08-04,ONLINE,17.4,6.8,open-meteo,-3.52
2021-08-05,ONLINE,18.8,1.8,open-meteo,-1.66
2021-08-06,ONLINE,19.5,1.0,open-meteo,-0.68
2021-08-07,ONLINE,18.4,4.9,open-meteo,-2.46
2021-08-08,ONLINE,18.0,0.4,open-meteo,-3.18
2021-08-09,ONLINE,18.9,0.5,open-meteo,-3.24
2021-08-10,ONLINE,20.5,1.4,open-meteo,-2.5
2021-08-11,ONLINE,21.6,0.0,open-meteo,-2.28
2021-08-12,ONLINE,22.9,2.1,open-meteo,-2.2
